iter	Passed	Remaining
618	1158	713
619	1160	711
620	1161	708
621	1162	706
622	1164	704
623	1165	702
624	1166	700
625	1168	697
626	1169	695
627	1172	694
628	1174	692
629	1176	690
630	1177	688
631	1178	686
632	1180	684
633	1181	682
634	1182	679
635	1184	677
636	1187	676
637	1189	674
638	1190	672
639	1191	670
640	1192	668
641	1194	665
642	1195	663
643	1197	661
644	1198	659
645	1199	657
646	1202	655
647	1203	653
648	1205	651
649	1206	649
650	1207	647
651	1208	645
652	1210	643
653	1211	640
654	1212	638
655	1213	636
656	1217	635
657	1218	633
658	1220	631
659	1221	629
660	1222	627
661	1224	625
662	1225	623
663	1227	620
664	1228	618
665	1231	617
666	1233	615
667	1234	613
668	1236	611
669	1237	609
670	1238	607
671	1239	605
672	1241	603
673	1242	601
674	1244	598
675	1246	597
676	1248	595
677	1249	593
678	1251	591
679	1252	589
680	1253	587
681	1255	585
682	1256	583
683	1257	581
684	1259	579
685	1262	577
686	1264	575
687	1266	574
688	1267	572
689	1269	570
690	1270	568
691	1271	565
692	1272	563
693	1276	562
694	1278	560
695	1279	558
696	1280	556
697	1282	554
698	1283	552
699	1284	550
700	1285	548
701	1287	546
702	1288	544
703	1291	543
704	1293	541
705	1294	539
706	1295	536
707	1296	534
708	1298	532
709	1299	530
710	1300	528
711	1302	526
712	1303	524
713	1306	523
714	1308	521
715	1309	519
716	1310	517
717	1311	515
718	1313	513
719	1314	511
720	1315	509
721	1317	507
722	1318	505
723	1321	503
724	1322	501
725	1324	499
726	1325	497
727	1326	495
728	1327	493
729	1329	491
730	1330	489
731	1331	487
732	1333	485
733	1335	484
734	1337	482
735	1338	480
736	1339	478
737	1341	476
738	1342	474
739	1343	472
740	1345	470
741	1346	468
742	1347	466
743	1351	464
744	1352	463
745	1354	461
746	1355	459
747	1357	457
748	1358	455
749	1359	453
750	1361	451
751	1362	449
752	1365	447
753	1367	446
754	1368	444
755	1369	442
756	1370	440
757	1372	438
758	1373	436
759	1375	434
760	1376	432
761	1377	430
762	1381	428
763	1382	427
764	1383	425
765	1385	423
766	1387	421
767	1389	419
768	1390	417
769	1391	415
770	1393	413
771	1396	412
772	1397	410
773	1398	408
774	1399	406
775	1401	404
776	1402	402
777	1403	400
778	1404	398
779	1406	396
780	1409	395
781	1411	393
782	1412	391
783	1413	389
784	1415	387
785	1416	385
786	1417	383
787	1418	381
788	1420	379
789	1421	377
790	1424	376
791	1426	374
792	1427	372
793	1428	370
794	1429	368
795	1431	366
796	1432	364
797	1433	362
798	1434	360
799	1436	359
800	1439	357
801	1441	355
802	1442	353
803	1444	352
804	1446	350
805	1447	348
806	1448	346
807	1449	344
808	1451	342
809	1453	340
810	1455	339
811	1457	337
812	1458	335
813	1459	333
814	1460	331
815	1461	329
816	1463	327
817	1464	325
818	1465	323
819	1467	322
820	1469	320
821	1471	318
822	1472	316
823	1473	314
824	1474	312
825	1476	310
826	1477	309
827	1478	307
828	1480	305
829	1481	303
830	1484	301
831	1485	300
832	1487	298
833	1488	296
834	1489	294
835	1490	292
836	1492	290
837	1494	288
838	1499	287
839	1500	285
840	1502	284
841	1504	282
842	1505	280
843	1507	278
844	1509	276
845	1510	274
846	1513	273
847	1515	271
848	1516	269
849	1517	267
850	1519	265
851	1520	264
852	1521	262
853	1523	260
854	1524	258
855	1525	256
856	1529	255
857	1530	253
858	1532	251
859	1533	249
860	1534	247
861	1535	245
862	1537	244
863	1538	242
864	1540	240
865	1544	238
866	1545	237
867	1548	235
868	1549	233
869	1551	231
870	1552	229
871	1554	228
872	1555	226
873	1558	224
874	1560	222
875	1561	221
876	1562	219
877	1564	217
878	1565	215
879	1566	213
880	1568	211
881	1569	210
882	1570	208
883	1574	206
884	1575	204
885	1576	202
886	1578	201
887	1579	199
888	1580	197
889	1582	195
890	1583	193
891	1584	191
892	1587	190
893	1589	188
894	1590	186
895	1591	184
896	1592	182
897	1594	181
898	1595	179
899	1597	177
900	1598	175
901	1599	173
902	1601	172
903	1603	170
904	1605	168
905	1606	166
906	1607	164
907	1608	162
908	1609	161
909	1611	159
910	1612	157
911	1613	155
912	1615	153
913	1618	152
914	1619	150
915	1620	148
916	1622	146
917	1623	145
918	1624	143
919	1626	141
920	1627	139
921	1628	137
922	1629	135
923	1633	134
924	1635	132
925	1636	130
926	1637	128
927	1638	127
928	1640	125
929	1641	123
930	1643	121
931	1644	119
932	1646	118
933	1649	116
934	1650	114
935	1652	113
936	1654	111
937	1655	109
938	1656	107
939	1658	105
940	1659	104
941	1663	102
942	1664	100
943	1665	98
944	1667	97
945	1668	95
946	1669	93
947	1670	91
948	1672	89
949	1673	88
950	1675	86
951	1677	84
952	1679	82
953	1680	81
954	1681	79
955	1683	77
956	1684	75
957	1685	73
958	1686	72
959	1688	70
960	1690	68
961	1692	66
962	1693	65
963	1695	63
964	1696	61
965	1697	59
966	1698	57
967	1700	56
968	1701	54
969	1703	52
970	1707	51
971	1709	49
972	1710	47
973	1711	45
974	1713	43
975	1714	42
976	1715	40
977	1717	38
978	1718	36
979	1719	35
980	1722	33
981	1723	31
982	1725	29
983	1726	28
984	1727	26
985	1728	24
986	1730	22
987	1731	21
988	1733	19
989	1735	17
990	1737	15
991	1738	14
992	1740	12
993	1742	10
994	1743	8
995	1744	7
996	1746	5
997	1747	3
998	1748	1
999	1751	0
