iter	Passed	Remaining
648	867	469
649	868	467
650	869	466
651	870	464
652	871	463
653	872	461
654	873	460
655	874	458
656	875	457
657	876	455
658	877	454
659	878	452
660	879	451
661	880	449
662	881	448
663	882	446
664	883	445
665	884	443
666	885	442
667	886	440
668	887	439
669	889	437
670	890	436
671	891	434
672	892	433
673	893	432
674	894	430
675	895	429
676	896	427
677	897	426
678	898	424
679	899	423
680	900	421
681	901	420
682	902	419
683	903	417
684	904	416
685	906	414
686	907	413
687	909	412
688	910	411
689	911	409
690	912	408
691	913	406
692	914	405
693	916	403
694	917	402
695	918	401
696	919	399
697	920	398
698	922	397
699	923	395
700	924	394
701	925	392
702	926	391
703	927	389
704	928	388
705	929	387
706	930	385
707	931	384
708	932	382
709	933	381
710	934	379
711	935	378
712	936	377
713	937	375
714	938	374
715	939	372
716	940	371
717	941	369
718	942	368
719	943	367
720	944	365
721	945	364
722	946	362
723	948	361
724	949	360
725	950	358
726	951	357
727	952	355
728	953	354
729	954	352
730	955	351
731	956	350
732	957	348
733	958	347
734	959	345
735	960	344
736	961	343
737	962	341
738	963	340
739	964	339
740	965	337
741	966	336
742	967	334
743	968	333
744	969	331
745	970	330
746	972	329
747	973	327
748	974	326
749	975	325
750	976	323
751	977	322
752	978	320
753	979	319
754	980	318
755	981	316
756	982	315
757	983	314
758	984	312
759	985	311
760	986	309
761	987	308
762	988	307
763	990	306
764	992	304
765	993	303
766	995	302
767	996	301
768	997	299
769	998	298
770	999	296
771	1000	295
772	1001	294
773	1002	292
774	1003	291
775	1005	290
776	1006	288
777	1007	287
778	1008	286
779	1009	284
780	1010	283
781	1011	281
782	1012	280
783	1013	279
784	1014	277
785	1015	276
786	1016	275
787	1017	273
788	1019	272
789	1020	271
790	1021	269
791	1022	268
792	1023	267
793	1024	265
794	1025	264
795	1026	263
796	1027	261
797	1028	260
798	1029	258
799	1030	257
800	1031	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1036	249
806	1038	248
807	1039	246
808	1040	245
809	1041	244
810	1042	242
811	1043	241
812	1044	240
813	1045	238
814	1046	237
815	1047	236
816	1048	234
817	1049	233
818	1050	232
819	1051	230
820	1052	229
821	1053	228
822	1054	226
823	1055	225
824	1056	224
825	1058	222
826	1059	221
827	1060	220
828	1061	218
829	1062	217
830	1063	216
831	1064	215
832	1066	213
833	1067	212
834	1068	211
835	1069	209
836	1070	208
837	1072	207
838	1073	205
839	1074	204
840	1075	203
841	1076	201
842	1077	200
843	1078	199
844	1079	198
845	1080	196
846	1081	195
847	1082	194
848	1083	192
849	1084	191
850	1086	190
851	1087	188
852	1088	187
853	1089	186
854	1090	184
855	1091	183
856	1092	182
857	1093	180
858	1094	179
859	1095	178
860	1096	176
861	1097	175
862	1098	174
863	1099	173
864	1100	171
865	1101	170
866	1102	169
867	1103	167
868	1104	166
869	1105	165
870	1106	163
871	1108	162
872	1109	161
873	1110	160
874	1111	158
875	1112	157
876	1114	156
877	1115	155
878	1116	153
879	1117	152
880	1118	151
881	1119	149
882	1120	148
883	1121	147
884	1122	145
885	1123	144
886	1124	143
887	1125	142
888	1127	140
889	1128	139
890	1129	138
891	1130	136
892	1131	135
893	1132	134
894	1133	132
895	1134	131
896	1135	130
897	1136	129
898	1137	127
899	1138	126
900	1139	125
901	1140	123
902	1141	122
903	1143	121
904	1144	120
905	1145	118
906	1146	117
907	1147	116
908	1148	114
909	1149	113
910	1150	112
911	1151	111
912	1152	109
913	1153	108
914	1154	107
915	1155	105
916	1156	104
917	1157	103
918	1158	102
919	1160	100
920	1161	99
921	1162	98
922	1163	97
923	1164	95
924	1165	94
925	1166	93
926	1167	91
927	1168	90
928	1169	89
929	1170	88
930	1171	86
931	1172	85
932	1173	84
933	1174	83
934	1175	81
935	1176	80
936	1177	79
937	1179	77
938	1180	76
939	1181	75
940	1182	74
941	1183	72
942	1184	71
943	1185	70
944	1186	69
945	1187	67
946	1188	66
947	1189	65
948	1190	63
949	1191	62
950	1192	61
951	1193	60
952	1194	58
953	1195	57
954	1196	56
955	1197	55
956	1198	53
957	1199	52
958	1200	51
959	1201	50
960	1202	48
961	1204	47
962	1205	46
963	1206	45
964	1207	43
965	1208	42
966	1209	41
967	1210	40
968	1211	38
969	1212	37
970	1213	36
971	1214	34
972	1215	33
973	1216	32
974	1217	31
975	1218	29
976	1219	28
977	1220	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1225	21
983	1226	19
984	1227	18
985	1229	17
986	1230	16
987	1231	14
988	1232	13
989	1233	12
990	1234	11
991	1235	9
992	1236	8
993	1237	7
994	1238	6
995	1239	4
996	1240	3
997	1241	2
998	1242	1
999	1243	0
